Year,State,Topic,Mortality,Gender,Race,
2017,AK,Heart Disease Mortality,,Female,Overall,
2017,AK,Heart Disease Mortality,,Female,Overall,
2017,AK,Heart Disease Mortality,178.9,Female,Overall,
2017,AK,Heart Disease Mortality,242.3,Female,Overall,
2017,AK,Heart Disease Mortality,,Female,Overall,
2017,AK,Heart Disease Mortality,179.4,Female,Overall,
2017,AK,Heart Disease Mortality,276.2,Female,Overall,
2017,AK,Heart Disease Mortality,185.8,Female,Overall,
2017,AK,Heart Disease Mortality,168.1,Female,Overall,
2017,AK,Heart Disease Mortality,177.4,Female,Overall,
2017,AK,Heart Disease Mortality,168.9,Female,Overall,
2017,AK,Heart Disease Mortality,219.3,Female,Overall,
2017,AK,Heart Disease Mortality,170.3,Female,Overall,
2017,AK,Heart Disease Mortality,225.7,Female,Overall,
2017,AK,Heart Disease Mortality,152.8,Female,Overall,
2017,AK,Heart Disease Mortality,231.8,Female,Overall,
2017,AK,Heart Disease Mortality,183.1,Female,Overall,
2017,AK,Heart Disease Mortality,390.5,Female,Overall,
2017,AK,Heart Disease Mortality,292.7,Female,Overall,
2017,AK,Heart Disease Mortality,334.4,Female,Overall,
2017,AK,Heart Disease Mortality,,Female,Overall,
2017,AK,Heart Disease Mortality,172.3,Female,Overall,
2017,AK,Heart Disease Mortality,186.2,Female,Overall,
2017,AK,Heart Disease Mortality,,Female,Overall,
2017,AK,Heart Disease Mortality,179.8,Female,Overall,
2017,AK,Heart Disease Mortality,178.5,Female,Overall,
2017,AK,Heart Disease Mortality,142.2,Female,Overall,
2017,AK,Heart Disease Mortality,,Female,Overall,
2017,AK,Heart Disease Mortality,216.7,Female,Overall,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,234.2,Overall,White,
2017,AK,Heart Disease Mortality,230.7,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,232.1,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,264.6,Overall,White,
2017,AK,Heart Disease Mortality,236.3,Overall,White,
2017,AK,Heart Disease Mortality,249.8,Overall,White,
2017,AK,Heart Disease Mortality,241.9,Overall,White,
2017,AK,Heart Disease Mortality,272.1,Overall,White,
2017,AK,Heart Disease Mortality,260.8,Overall,White,
2017,AK,Heart Disease Mortality,292,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,284.6,Overall,White,
2017,AK,Heart Disease Mortality,232,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,58.5,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,240.1,Overall,White,
2017,AK,Heart Disease Mortality,262,Overall,White,
2017,AK,Heart Disease Mortality,258.4,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,250.6,Overall,White,
2017,AK,Heart Disease Mortality,231.2,Overall,White,
2017,AK,Heart Disease Mortality,255.9,Overall,White,
2017,AK,Heart Disease Mortality,,Overall,White,
2017,AK,Heart Disease Mortality,223.4,Overall,White,
2017,LA,Heart Disease Mortality,988.4,Male,Black,
2017,VA,Heart Disease Mortality,983.5,Male,Overall,
2017,KY,Heart Disease Mortality,983.4,Male,Overall,
2017,LA,Heart Disease Mortality,974.7,Male,Black,
2017,TN,Heart Disease Mortality,972.2,Male,Black,
2017,MS,Heart Disease Mortality,970.5,Male,American Indian and Alaskan Native,
2017,MS,Heart Disease Mortality,962,Male,American Indian and Alaskan Native,
2017,AR,Heart Disease Mortality,961.4,Male,Black,
2017,MT,Heart Disease Mortality,951.3,Male,American Indian and Alaskan Native,
2017,KY,Heart Disease Mortality,950.7,Male,Black,
2017,TN,Heart Disease Mortality,949.7,Male,Black,
2017,AL,Heart Disease Mortality,948.6,Male,Black,
2017,MS,Heart Disease Mortality,943.8,Male,American Indian and Alaskan Native,
2017,MT,Heart Disease Mortality,940.7,Male,American Indian and Alaskan Native,
2017,LA,Heart Disease Mortality,928,Male,Black,
2017,TX,Heart Disease Mortality,926.2,Male,Black,
2017,IL,Heart Disease Mortality,920,Male,Black,
2017,OK,Heart Disease Mortality,918.5,Male,American Indian and Alaskan Native,
2017,OK,Heart Disease Mortality,915.1,Male,American Indian and Alaskan Native,
2017,PA,Heart Disease Mortality,914.3,Male,Black,
2017,OK,Heart Disease Mortality,913.9,Male,American Indian and Alaskan Native,
2017,OK,Heart Disease Mortality,912.8,Male,Black,
2017,MO,Heart Disease Mortality,911.1,Male,Black,
2017,LA,Heart Disease Mortality,910.7,Male,Black,
2017,IL,Heart Disease Mortality,908.1,Male,Black,
2017,MO,Heart Disease Mortality,907.1,Male,Black,
2017,TN,Heart Disease Mortality,907,Male,Black,
2017,LA,Heart Disease Mortality,906,Male,Black,
2017,ND,Heart Disease Mortality,905.9,Male,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,169.2,Female,White,
2017,AK,Heart Disease Mortality,195.3,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,173.6,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,157.6,Female,White,
2017,AK,Heart Disease Mortality,146.9,Female,White,
2017,AK,Heart Disease Mortality,159.6,Female,White,
2017,AK,Heart Disease Mortality,146,Female,White,
2017,AK,Heart Disease Mortality,220.6,Female,White,
2017,AK,Heart Disease Mortality,188.8,Female,White,
2017,AK,Heart Disease Mortality,246,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,243.9,Female,White,
2017,AK,Heart Disease Mortality,178.2,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,164.6,Female,White,
2017,AK,Heart Disease Mortality,162,Female,White,
2017,AK,Heart Disease Mortality,170.1,Female,White,
2017,AK,Heart Disease Mortality,,Female,White,
2017,AK,Heart Disease Mortality,165.8,Female,White,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,367.1,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,346,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,345,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,343.8,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,AK,Heart Disease Mortality,,Overall,Black,
2017,OK,Heart Disease Mortality,904.2,Male,American Indian and Alaskan Native,
2017,TN,Heart Disease Mortality,903.9,Male,Black,
2017,AL,Heart Disease Mortality,901,Male,White,
2017,TN,Heart Disease Mortality,899.3,Male,Black,
2017,GA,Heart Disease Mortality,894.7,Male,Black,
2017,OK,Heart Disease Mortality,892.8,Male,American Indian and Alaskan Native,
2017,TX,Heart Disease Mortality,892.2,Male,Black,
2017,WI,Heart Disease Mortality,888.6,Male,American Indian and Alaskan Native,
2017,KY,Heart Disease Mortality,888.5,Male,Black,
2017,VA,Heart Disease Mortality,886.6,Male,Black,
2017,AL,Heart Disease Mortality,886.1,Male,Overall,
2017,LA,Heart Disease Mortality,885.8,Male,Black,
2017,GA,Heart Disease Mortality,879.3,Male,Black,
2017,NC,Heart Disease Mortality,878.9,Male,Black,
2017,OK,Heart Disease Mortality,876.8,Male,Black,
2017,TN,Heart Disease Mortality,874.4,Male,Black,
2017,AL,Heart Disease Mortality,873.9,Male,Black,
2017,PA,Heart Disease Mortality,873.3,Male,Black,
2017,AL,Heart Disease Mortality,871,Male,Black,
2017,OK,Heart Disease Mortality,869.2,Male,Black,
2017,GA,Heart Disease Mortality,869,Male,Black,
2017,KY,Heart Disease Mortality,868.2,Male,Black,
2017,KY,Heart Disease Mortality,867.4,Male,Black,
2017,LA,Heart Disease Mortality,865.8,Male,Black,
2017,MO,Heart Disease Mortality,865.5,Male,Black,
2017,LA,Heart Disease Mortality,865.1,Male,Black,
2017,AL,Heart Disease Mortality,862.7,Male,Black,
2017,WA,Heart Disease Mortality,858.7,Male,American Indian and Alaskan Native,
2017,MS,Heart Disease Mortality,857.6,Male,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,239.7,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,236.1,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,235.3,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Female,Black,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,200.2,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,205,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,312.8,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,134.5,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,185.4,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Hispanic,
2017,PA,Heart Disease Mortality,857.5,Male,Black,
2017,AL,Heart Disease Mortality,856,Male,Black,
2017,TN,Heart Disease Mortality,854.7,Male,Black,
2017,TN,Heart Disease Mortality,853.9,Male,White,
2017,KY,Heart Disease Mortality,853.2,Male,White,
2017,AR,Heart Disease Mortality,850.1,Male,White,
2017,AR,Heart Disease Mortality,849.5,Male,Black,
2017,KY,Heart Disease Mortality,849.3,Male,Black,
2017,IN,Heart Disease Mortality,846.8,Male,Black,
2017,TN,Heart Disease Mortality,846.6,Male,Black,
2017,TN,Heart Disease Mortality,846,Male,Overall,
2017,MS,Heart Disease Mortality,843.6,Male,Black,
2017,TN,Heart Disease Mortality,842.3,Male,Black,
2017,CA,Heart Disease Mortality,841.3,Male,American Indian and Alaskan Native,
2017,TN,Heart Disease Mortality,841.2,Male,Black,
2017,KY,Heart Disease Mortality,839.8,Male,Overall,
2017,OK,Heart Disease Mortality,838.7,Male,American Indian and Alaskan Native,
2017,AL,Heart Disease Mortality,838.1,Male,Black,
2017,MS,Heart Disease Mortality,837.1,Male,Black,
2017,AK,Heart Disease Mortality,835.9,Male,American Indian and Alaskan Native,
2017,GA,Heart Disease Mortality,835.7,Male,Black,
2017,LA,Heart Disease Mortality,834.6,Male,Black,
2017,TN,Heart Disease Mortality,834.6,Male,Black,
2017,MS,Heart Disease Mortality,834.2,Male,Black,
2017,KY,Heart Disease Mortality,833.6,Male,Black,
2017,TN,Heart Disease Mortality,833,Male,Black,
2017,LA,Heart Disease Mortality,832.7,Male,Black,
2017,KY,Heart Disease Mortality,831.5,Male,Black,
2017,IN,Heart Disease Mortality,831,Male,Black,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,158.1,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,127.9,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Female,Hispanic,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,121,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,130.1,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,126.4,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,156.5,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,125.9,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,124.5,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,Asian and Pacific Islander,
2017,OK,Heart Disease Mortality,830.6,Male,Black,
2017,TN,Heart Disease Mortality,827.6,Male,Black,
2017,LA,Heart Disease Mortality,825.4,Male,Black,
2017,MS,Heart Disease Mortality,825.4,Male,Black,
2017,AR,Heart Disease Mortality,823.8,Male,Black,
2017,WV,Heart Disease Mortality,823.3,Male,Black,
2017,MO,Heart Disease Mortality,820.1,Male,Black,
2017,LA,Heart Disease Mortality,819.2,Male,White,
2017,TX,Heart Disease Mortality,815.8,Male,Black,
2017,MO,Heart Disease Mortality,815.7,Male,Overall,
2017,VA,Heart Disease Mortality,815.4,Male,White,
2017,MS,Heart Disease Mortality,815.3,Male,Black,
2017,GA,Heart Disease Mortality,813.4,Male,Black,
2017,AL,Heart Disease Mortality,811.7,Male,Black,
2017,AR,Heart Disease Mortality,811,Male,Overall,
2017,MO,Heart Disease Mortality,810.1,Male,Black,
2017,OK,Heart Disease Mortality,808.9,Male,American Indian and Alaskan Native,
2017,AL,Heart Disease Mortality,808,Male,Black,
2017,MS,Heart Disease Mortality,807.5,Male,Black,
2017,VA,Heart Disease Mortality,805.9,Male,Overall,
2017,TN,Heart Disease Mortality,805,Male,Black,
2017,TX,Heart Disease Mortality,803.3,Male,White,
2017,GA,Heart Disease Mortality,802.3,Male,Black,
2017,TN,Heart Disease Mortality,802.2,Male,Black,
2017,OK,Heart Disease Mortality,801.3,Male,Black,
2017,OK,Heart Disease Mortality,800.9,Male,American Indian and Alaskan Native,
2017,MI,Heart Disease Mortality,800.6,Male,American Indian and Alaskan Native,
2017,LA,Heart Disease Mortality,800.3,Male,Overall,
2017,MT,Heart Disease Mortality,797.6,Male,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,84.3,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,102.2,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,109.1,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,92.6,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Female,Asian and Pacific Islander,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,493.5,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,391.6,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,387,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,432.8,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,429.8,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,442.3,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,436.5,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,487.2,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,375.5,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,416.6,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,87.2,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,381.5,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,289.3,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,562.6,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,435.7,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,482.8,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,411.7,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,458.2,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,331.4,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,440.6,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,,Overall,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,358.2,Overall,American Indian and Alaskan Native,
2017,TN,Heart Disease Mortality,797.6,Male,Black,
2017,UT,Heart Disease Mortality,796.4,Male,Black,
